name,image,video,link,project
Studio-Courtyard-12.43-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2012.43.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2012.43.jpg,cubao
1BR-Outer-26.12-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/1%20Bedroom%2026.12.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/1%20Bedroom%2026.12.jpg,cubao
1-Bedroom-Unit-Layout,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/1%20Bedroom%20Unit%20Layout.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/1%20Bedroom%20Unit%20Layout.jpg,cubao
Studio-Outer-12.25-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2012.25.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2012.25.jpg,cubao
Studio-Unit-Layout,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%20Layout.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%20Layout.jpg,cubao
Studio-Outer-12.47-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2012.47.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2012.47.jpg,cubao
Studio-Outer-13.06-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2013.06.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2013.06.jpg,cubao
Studio-Courtyard-12.12-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2012.12.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2012.12.jpg,cubao
Studio-Courtyard-14.16-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2014.16.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2014.16.jpg,cubao
Studio-Outer-12.56-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2012.56.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2012.56.jpg,cubao
Studio-Courtyard-13.34-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2013.34.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2013.34.jpg,cubao
1BR-Outer-28.32-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/1%20Bedroom%2028.32.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/1%20Bedroom%2028.32.jpg,cubao
1BR-Outer-27.89-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/1%20Bedroom%2027.89.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/1%20Bedroom%2027.89.jpg,cubao
Studio-Outer-13.67-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2013.67.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2013.67.jpg,cubao
Studio-Outer-13.82-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2013.82.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2013.82.jpg,cubao
Studio-Outer-13.34-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2013.34.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2013.34.jpg,cubao
Studio-Outer-14.16-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2014.16.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/Studio%20Unit%2014.16.jpg,cubao
1BR-Outer-27.64-sqm,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/1%20Bedroom%2027.89.jpg,,https://urbandecabydren.sirv.com/8990/urban%20deca%20towers%20cubao/layouts/Unit%20Layout/1%20Bedroom%2027.89.jpg,cubao
BLDG K,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20K%20FLOOR%20PLAN.webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20K%20FLOOR%20PLAN.webp,ortigas
BLDG L,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20L%20FLOOR%20PLAN.webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20L%20FLOOR%20PLAN.webp,ortigas
BLDG M,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20M%20FLOOR%20PLAN.webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20M%20FLOOR%20PLAN.webp,ortigas
BLDG N,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20N%20FLOOR%20PLAN.webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20N%20FLOOR%20PLAN.webp,ortigas
BLDG O,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20O%20FLOOR%20PLAN.webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20O%20FLOOR%20PLAN.webp,ortigas
BLDG P,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20P%20FLOOR%20PLAN.webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20P%20FLOOR%20PLAN.webp,ortigas
BLDG Q,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20Q%20FLOOR%20PLAN.webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20Q%20FLOOR%20PLAN.webp,ortigas
BLDG R,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20R%20FLOOR%20PLAN.webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/FLOOR%20PLANS%202/BLDG%20R%20FLOOR%20PLAN.webp,ortigas
2BR-A,https://urbandecahomes.sirv.com/UDH-ORTIGAS/LAYOUT%20UNITS/2BR-A%2035.57%20sqm%20(Outer).webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/LAYOUT%20UNITS/2BR-A%2035.57%20sqm%20(Outer).webp,ortigas
2BR-B,https://urbandecahomes.sirv.com/UDH-ORTIGAS/LAYOUT%20UNITS/2BR-B%2030.60%20sqm.webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/LAYOUT%20UNITS/2BR-B%2030.60%20sqm.webp,ortigas
2BR-C,https://urbandecahomes.sirv.com/UDH-ORTIGAS/LAYOUT%20UNITS/2BR-C%2035.57%20sqm%20(Inner).webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/LAYOUT%20UNITS/2BR-C%2035.57%20sqm%20(Inner).webp,ortigas
3BR-AC,https://urbandecahomes.sirv.com/UDH-ORTIGAS/LAYOUT%20UNITS/3BR-AC%2042.07%20sqm.webp,,https://urbandecahomes.sirv.com/UDH-ORTIGAS/LAYOUT%20UNITS/3BR-AC%2042.07%20sqm.webp,ortigas
