name,image,video,project,link,path
deca building,https://drive.google.com/thumbnail?id=1fYqjzDdatzWHSTiNHYO6-SjDP-yUe2Fp&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1fYqjzDdatzWHSTiNHYO6-SjDP-yUe2Fp,img126
deca building,https://drive.google.com/thumbnail?id=1CSerG6n36r78ScmyMrxKs6w4mRXURLjY&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1CSerG6n36r78ScmyMrxKs6w4mRXURLjY,img127
deca logo,https://drive.google.com/thumbnail?id=1w9gLY3PMR93ucVXUQtr6BAwtBqYyKZYM&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1w9gLY3PMR93ucVXUQtr6BAwtBqYyKZYM,img234
deca building,https://drive.google.com/thumbnail?id=13bj1uwElzrO9LKVRHyWnDboR_YNpwDzD&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=13bj1uwElzrO9LKVRHyWnDboR_YNpwDzD,img279
3rd-8th floor plan,https://drive.google.com/thumbnail?id=1rxSFX3ybAnC-kHtPdAcTHbXBrpJ4UWUJ&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1rxSFX3ybAnC-kHtPdAcTHbXBrpJ4UWUJ,img294
9th-45th floor plan,https://drive.google.com/thumbnail?id=1rTIUMI2mTmmmTxzKebaxUwvYifkPRMNf&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1rTIUMI2mTmmmTxzKebaxUwvYifkPRMNf,img298
parking,https://drive.google.com/thumbnail?id=1p9Jj9jCmwZ730EtCa4vyu9ldA6J8Ae-J&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1p9Jj9jCmwZ730EtCa4vyu9ldA6J8Ae-J,img302
parking,https://drive.google.com/thumbnail?id=1H0LY0bOum2bQoJn8clKBGwZeWj8vfpJU&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1H0LY0bOum2bQoJn8clKBGwZeWj8vfpJU,img303
ar blow-up single parking 3D view,https://drive.google.com/thumbnail?id=1Bx-whEWcOenIlgpwy3NkqmZuIHypmIuW&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1Bx-whEWcOenIlgpwy3NkqmZuIHypmIuW,img316
ar blow-up mechanized parking 3D view,https://drive.google.com/thumbnail?id=12xzIhwjl_K-1TrXXxpuvUAo_lkEfA7eI&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=12xzIhwjl_K-1TrXXxpuvUAo_lkEfA7eI,img317
parking side elevation,https://drive.google.com/thumbnail?id=16Zmp9oMwRPWV1ITHc8T9WnWK37U5tMcc&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=16Zmp9oMwRPWV1ITHc8T9WnWK37U5tMcc,img318
parking,https://drive.google.com/thumbnail?id=1xgSy7wG0C4ucdeUzHfnPjL1SXs6RT4lE&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1xgSy7wG0C4ucdeUzHfnPjL1SXs6RT4lE,img322
studio layout simple,https://drive.google.com/thumbnail?id=15X_FXmYbxXPI4hUACMKaAG77DnrRoBYZ&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=15X_FXmYbxXPI4hUACMKaAG77DnrRoBYZ,img333
1br ceiling,https://drive.google.com/thumbnail?id=12U37UO0xBJfO76tl36KoYI3MGDj9kjhK&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=12U37UO0xBJfO76tl36KoYI3MGDj9kjhK,img342
1br layout simple,https://drive.google.com/thumbnail?id=1X9rf_oZLKoAPeL9N8IxtAP86Ev4IJuaU&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1X9rf_oZLKoAPeL9N8IxtAP86Ev4IJuaU,img353
x,,,cubao,https://drive.google.com/uc?export=download&id=1RXguFqwiE4HtZDO15I6w5igU3MV5fdr2,img354
x,,,cubao,https://drive.google.com/uc?export=download&id=1RKGjHGwwZH3alpOFi3BYu1zYBZtsWsBo,img355
dressed up 1br,https://drive.google.com/thumbnail?id=1d_YYjCnuoaCc0fGEssRyz9-sBZqTyHu4&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1d_YYjCnuoaCc0fGEssRyz9-sBZqTyHu4,img359
dressed up 1br,https://drive.google.com/thumbnail?id=1pS79X-Eh9plyTURy7r_R-EjpC-ppwBlj&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1pS79X-Eh9plyTURy7r_R-EjpC-ppwBlj,img360
dressed up 1br,https://drive.google.com/thumbnail?id=15_stjOUx5_wdXRn__aKpoHuf7S2R8Uz0&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=15_stjOUx5_wdXRn__aKpoHuf7S2R8Uz0,img361
dressed up 1br,https://drive.google.com/thumbnail?id=1b5h7gJh4guGJBN-pppNZtY86JX2cUNUV&sz=w500,,cubao,https://drive.google.com/uc?export=download&id=1b5h7gJh4guGJBN-pppNZtY86JX2cUNUV,img362
