name,image,video,project,path
deca building,https://drive.google.com/uc?export=download&id=1fYqjzDdatzWHSTiNHYO6-SjDP-yUe2Fp,,cubao,img126
deca building,https://drive.google.com/uc?export=download&id=1CSerG6n36r78ScmyMrxKs6w4mRXURLjY,,cubao,img127
deca logo,https://drive.google.com/uc?export=download&id=1w9gLY3PMR93ucVXUQtr6BAwtBqYyKZYM,,cubao,img234
deca building,https://drive.google.com/uc?export=download&id=13bj1uwElzrO9LKVRHyWnDboR_YNpwDzD,,cubao,img279
3rd-8th floor plan,https://drive.google.com/uc?export=download&id=1rxSFX3ybAnC-kHtPdAcTHbXBrpJ4UWUJ,,cubao,img294
9th-45th floor plan,https://drive.google.com/uc?export=download&id=1rTIUMI2mTmmmTxzKebaxUwvYifkPRMNf,,cubao,img298
parking,https://drive.google.com/uc?export=download&id=1p9Jj9jCmwZ730EtCa4vyu9ldA6J8Ae-J,,cubao,img302
parking,https://drive.google.com/uc?export=download&id=1H0LY0bOum2bQoJn8clKBGwZeWj8vfpJU,,cubao,img303
ar blow-up single parking 3D view,https://drive.google.com/uc?export=download&id=1Bx-whEWcOenIlgpwy3NkqmZuIHypmIuW,,cubao,img316
ar blow-up mechanized parking 3D view,https://drive.google.com/uc?export=download&id=12xzIhwjl_K-1TrXXxpuvUAo_lkEfA7eI,,cubao,img317
parking side elevation,https://drive.google.com/uc?export=download&id=16Zmp9oMwRPWV1ITHc8T9WnWK37U5tMcc,,cubao,img318
parking,https://drive.google.com/uc?export=download&id=1xgSy7wG0C4ucdeUzHfnPjL1SXs6RT4lE,,cubao,img322
studio layout simple,https://drive.google.com/uc?export=download&id=15X_FXmYbxXPI4hUACMKaAG77DnrRoBYZ,,cubao,img333
1br ceiling,https://drive.google.com/uc?export=download&id=12U37UO0xBJfO76tl36KoYI3MGDj9kjhK,,cubao,img342
1br layout simple,https://drive.google.com/uc?export=download&id=1X9rf_oZLKoAPeL9N8IxtAP86Ev4IJuaU,,cubao,img353
x,https://drive.google.com/uc?export=download&id=1RXguFqwiE4HtZDO15I6w5igU3MV5fdr2,,cubao,img354
x,https://drive.google.com/uc?export=download&id=1RKGjHGwwZH3alpOFi3BYu1zYBZtsWsBo,,cubao,img355
dressed up 1br,https://drive.google.com/uc?export=download&id=1d_YYjCnuoaCc0fGEssRyz9-sBZqTyHu4,,cubao,img359
dressed up 1br,https://drive.google.com/uc?export=download&id=1pS79X-Eh9plyTURy7r_R-EjpC-ppwBlj,,cubao,img360
dressed up 1br,https://drive.google.com/uc?export=download&id=15_stjOUx5_wdXRn__aKpoHuf7S2R8Uz0,,cubao,img361
dressed up 1br,https://drive.google.com/uc?export=download&id=1b5h7gJh4guGJBN-pppNZtY86JX2cUNUV,,cubao,img362
reservation flowchart,https://drive.google.com/uc?export=download&id=1wDDAkMtCfMGbJVCMNMqW5-A1lhN-rA0L,,cubao,img408
1BR HIGH BDO,https://drive.google.com/uc?export=download&id=1kD_rWZMJJPmX2hgL8MQ_oszeBXPV7uZn,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\1BR HIGH BDO
1BR LOW1 BDO,https://drive.google.com/uc?export=download&id=1NTqTo-0ZWfS4SDDPqzd0JE4OE9EH9HbQ,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\1BR LOW1 BDO
1BR LOW2 BDO,https://drive.google.com/uc?export=download&id=1Y8FNo63Y8v0OmuYOBgLEEz235xtrWZxh,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\1BR LOW2 BDO
1BR MID1 BDO,https://drive.google.com/uc?export=download&id=176Awe-j9uYHcdVzm64maVhpBu77cnS7T,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\1BR MID1 BDO
1BR MID2 BDO,https://drive.google.com/uc?export=download&id=1izPs5vZc7lRWG-KDMAS_E8V9vcWnmG1W,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\1BR MID2 BDO
SC1214 HIGH BDO,https://drive.google.com/uc?export=download&id=1u8MiIUYEu35r47-s8iYs1JY3z5YLtTaG,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\SC1214 HIGH BDO
SC1214 LOW1 BDO,https://drive.google.com/uc?export=download&id=1NTM8rkC1pC8VDJow9zAQ7AVFlyccGfbt,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\SC1214 LOW1 BDO
SC1214 LOW2 BDO,https://drive.google.com/uc?export=download&id=1N0g0FD_tzVnLn3dbBt6bAetMs3cLSVdI,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\SC1214 LOW2 BDO
SC1214 MID1 BDO,https://drive.google.com/uc?export=download&id=1fMmTtG106iSUDnGuom2Je2H2k7hYmGLz,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\SC1214 MID1 BDO
SC1214 MID2 BDO,https://drive.google.com/uc?export=download&id=1C0GKsiZT3IJSZQeCZEkcChL8xiVJthlz,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\SC1214 MID2 BDO
SO1214 HIGH BDO,https://drive.google.com/uc?export=download&id=1UlkzHTQOpP79352i2RlMFNK0dRyZ6Rhl,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\SO1214 HIGH BDO
SO1214 LOW1 BDO,https://drive.google.com/uc?export=download&id=1PG9tN_Xhor-fb7x30mBjBbGMGpy_YNc5,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\SO1214 LOW1 BDO
SO1214 LOW2 BDO,https://drive.google.com/uc?export=download&id=1beuK6oGOZBmuf-p-cW7pa627ZcJ350aC,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\SO1214 LOW2 BDO
SO1214 MID1 BDO,https://drive.google.com/uc?export=download&id=1JQLmx__rUB8DIPcRvvgGrRzz_nEFa6I6,,cubao,LATEST SAMPLE COMPUTATION BANK\BDO\SO1214 MID1 BDO
