BLDG,UNIT,,Zone,"Location
Code",Unit Type,Unit Area,"Account
Status",FACING VIEW
K,202,K-202,LOW,Outer,2BR-B,30.6,Fresh,BLDG L
K,203,K-203,LOW,Outer,2BR-B,30.6,Fresh,BLDG L
K,204,K-204,LOW,Outer,2BR-B,30.6,Fresh,BLDG L
K,206,K-206,LOW,Outer,2BR-B,30.6,Fresh,BLDG L
K,207,K-207,LOW,Outer,2BR-B,30.6,Fresh,BLDG L
K,208,K-208,LOW,Outer,2BR-B,30.6,Fresh,BLDG L
K,209,K-209,LOW,Outer,2BR-B,30.6,Fresh,BLDG L
K,210,K-210,LOW,Outer,2BR-B,30.6,Fresh,BLDG L
K,225,K-225,LOW,Outer,2BR-B,30.6,Fresh,BLDG J
K,226,K-226,LOW,Outer,2BR-B,30.6,Fresh,BLDG J
K,227,K-227,LOW,Outer,2BR-B,30.6,Fresh,BLDG J
K,228,K-228,LOW,Outer,2BR-B,30.6,Fresh,BLDG J
K,229,K-229,LOW,Outer,2BR-B,30.6,Fresh,BLDG J
K,230,K-230,LOW,Outer,2BR-B,30.6,Fresh,BLDG J
K,234,K-234,LOW,Outer,2BR-B,30.6,Fresh,BLDG C
K,235,K-235,LOW,Outer,2BR-B,30.6,Fresh,BLDG C
K,236,K-236,LOW,Outer,2BR-B,30.6,Fresh,BLDG C
K,237,K-237,LOW,Outer,2BR-B,30.6,Fresh,BLDG C
K,238,K-238,LOW,Outer,2BR-B,30.6,Fresh,BLDG C
K,239,K-239,LOW,Outer,2BR-B,30.6,Fresh,BLDG C
K,240,K-240,LOW,Outer,2BR-B,30.6,Fresh,BLDG C
K,241,K-241,LOW,Outer,2BR-B,30.6,Fresh,BLDG C
K,246,K-246,LOW,Inner,2BR-B,30.6,Fresh,INNER BLDG
K,247,K-247,LOW,Inner,2BR-B,30.6,Fresh,INNER BLDG
K,248,K-248,LOW,Inner,2BR-B,30.6,Fresh,INNER BLDG
K,250,K-250,LOW,Inner,2BR-B,30.6,Fresh,INNER BLDG
K,252,K-252,LOW,Inner,2BR-B,30.6,Fresh,INNER BLDG
K,253,K-253,LOW,Inner,2BR-B,30.6,Fresh,INNER BLDG
K,255,K-255,LOW,Inner,2BR-B,30.6,Fresh,INNER BLDG
K,256,K-256,LOW,Inner,2BR-B,30.6,Fresh,INNER BLDG
K,257,K-257,LOW,Inner,2BR-B,30.6,Fresh,INNER BLDG
