ZONE,FLR,UNIT,BLDG-UNIT,TYPE,LOCATION CODE,UNIT TYPE,UNIT AREA,"ACCOUNT
STATUS",FACING
LOW,3,27,TOWER 1 3-27,RESIDENTIAL,Studio - Outer,STUDIO,12.56,RESALE,Ignacio Diaz
LOW,3,30,TOWER 1 3-30,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,
LOW,3,45,TOWER 1 3-45,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,3,46,TOWER 1 3-46,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,3,47,TOWER 1 3-47,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,3,51,TOWER 1 3-51,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,
LOW,4,42,TOWER 1 4-42,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,4,43,TOWER 1 4-43,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,4,44,TOWER 1 4-44,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,
LOW,4,45,TOWER 1 4-45,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,4,46,TOWER 1 4-46,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,4,47,TOWER 1 4-47,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,4,48,TOWER 1 4-48,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,4,49,TOWER 1 4-49,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,4,50,TOWER 1 4-50,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,4,51,TOWER 1 4-51,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,
LOW,4,52,TOWER 1 4-52,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,4,53,TOWER 1 4-53,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,4,54,TOWER 1 4-54,RESIDENTIAL,Studio - Outer,STUDIO,12.56,FRESH,Samson
LOW,4,55,TOWER 1 4-55,RESIDENTIAL,Studio - Outer,STUDIO,13.67,FRESH,Samson
LOW,5,42,TOWER 1 5-42,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,5,43,TOWER 1 5-43,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,5,44,TOWER 1 5-44,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,
LOW,5,45,TOWER 1 5-45,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,5,46,TOWER 1 5-46,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,5,47,TOWER 1 5-47,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,5,48,TOWER 1 5-48,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,5,49,TOWER 1 5-49,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,5,50,TOWER 1 5-50,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,5,51,TOWER 1 5-51,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,
LOW,5,52,TOWER 1 5-52,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,5,53,TOWER 1 5-53,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,5,55,TOWER 1 5-55,RESIDENTIAL,Studio - Outer,STUDIO,13.67,FRESH,Samson
LOW,6,25,TOWER 1 6-25,RESIDENTIAL,Studio - Outer,STUDIO,13.06,RESALE,
LOW,6,46,TOWER 1 6-46,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,6,48,TOWER 1 6-48,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,6,50,TOWER 1 6-50,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,6,51,TOWER 1 6-51,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,
LOW,6,52,TOWER 1 6-52,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Samson
LOW,8,32,TOWER 1 8-32,RESIDENTIAL,Studio - Outer,STUDIO,13.82,FRESH,Ignacio Diaz
LOW,8,56,TOWER 1 8-56,RESIDENTIAL,Studio - Outer,STUDIO,13.06,FRESH,
LOW,9,40,TOWER 1 9-40,RESIDENTIAL,Studio - Courtyard,STUDIO,14.16,FRESH,Ignacio Diaz
LOW,9,42,TOWER 1 9-42,RESIDENTIAL,Studio - Courtyard,STUDIO,14.16,FRESH,Ignacio Diaz
LOW,9,44,TOWER 1 9-44,RESIDENTIAL,Studio - Courtyard,STUDIO,14.16,FRESH,
LOW,9,46,TOWER 1 9-46,RESIDENTIAL,Studio - Courtyard,STUDIO,14.16,FRESH,Ignacio Diaz
